GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "08000","Colorado",7,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",964912,976232,1014196,1025256,1030224,1025256,1015228,1012940,1056672,1099968,1158072,1208164,1320360,1367632,1394292,1424144,1495556,1505380,1536960,1578456,1567160,1587860,1592368,1588172,1624564,1621624,1626752,1654384,1738284,1781076,1820288,1856504,1957620,1996448,2015640,2053288,2129100,2146636,2169672,2168108
 "08000","Colorado",7,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",51428,50336,55776,59328,50644,49408,50788,52452,45336,44636,45276,44508,44928,45872,46376,45432,47492,47560,47100,44020,40764,40828,40712,38640,42096,40776,39220,38968,42932,42396,43332,43396,37928,38760,38580,38228,47016,46164,47372,47940
 "08000","Colorado",7,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",913484,925896,958420,965928,979580,975848,964440,960488,1011336,1055332,1112796,1163656,1275432,1321760,1347916,1378712,1448064,1457820,1489860,1534436,1526396,1547032,1551656,1549532,1582468,1580848,1587532,1615416,1695352,1738680,1776956,1813108,1919692,1957688,1977060,2015060,2082084,2100472,2122300,2120168
 "08000","Colorado",7,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",741828,751164,777908,779204,781672,774252,758808,753364,787984,824792,868468,900480,977516,1003396,1010704,1025900,1084516,1085584,1110692,1151356,1156052,1177084,1182708,1179720,1173556,1169996,1172820,1197216,1265848,1304412,1337680,1366960,1443404,1474596,1487252,1520316,1593720,1605972,1620224,1608972
 "08000","Colorado",7,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1696,1760,1808,1836,1788,1760,1788,1832,2160,2236,2316,2388,2548,2628,2676,2752,3024,3052,3104,3100,3024,3076,3128,3180,2704,2752,2748,2732,2588,2560,2560,2608,2776,2816,2848,2844,3488,3460,3488,3544
 "08000","Colorado",7,SQINC7H,200,"B","   Mining","Thousands of dollars",41536,38896,43816,43320,41820,39928,33900,31124,29396,36464,38212,39240,42756,43240,44740,45752,56856,51508,53384,56500,58332,58332,59488,57288,62736,60716,59736,60988,68708,71920,72836,75052,81484,85232,83000,86180,90476,91736,93580,89224
 "08000","Colorado",7,SQINC7H,300,"C","   Construction","Thousands of dollars",56900,60384,62884,63088,63396,60184,59316,59704,68432,73600,80784,85764,107544,112548,114500,116916,126220,126168,130376,133188,117184,115620,116240,118880,111492,112544,111448,113864,133544,139360,141232,139980,153160,161132,164488,165376,178472,179832,178372,178424
 "08000","Colorado",7,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",167716,168796,174456,174552,175124,167864,167436,163540,175068,186836,200808,214148,228100,236224,236112,237852,248728,249288,254596,276540,281092,286132,283592,275588,274112,270916,268464,277248,287188,296912,302768,312812,326712,331128,334124,347584,377844,375976,376264,368060
 "08000","Colorado",7,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",131144,129148,135896,135940,137764,143656,136288,132108,132964,136844,145016,147936,155264,163924,160420,162468,175812,174588,180816,184016,185648,193260,194028,192960,188628,187140,187908,189780,193928,200384,206972,211572,217660,219736,216792,222940,230292,233316,235648,233844
 "08000","Colorado",7,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",206752,211840,217032,217844,217508,216580,214580,214868,223344,229908,240248,244676,265064,268012,269836,273472,280696,285664,289472,295584,300368,305756,309180,312764,314624,313544,314860,317916,334484,342432,352612,360080,380704,386436,391052,395348,401492,405676,412992,413612
